Anon Student Id	Session Id	Time	Problem Start Time	Level (Topic)	Problem Name	Condition Name	Condition Type	Condition Name	Condition Type	Condition Name	Condition Type	Action	Selection	KC (Topic)	KC (LO)	School	Class	CF (Exemplar Answer)	CF (Question Type)	CF (Original Due Date)	CF (Response Time)	CF (Parent Question ID)	CF (Experiment ID)	Step Name	CF (Stage)	CF (Key)	CF (LLM Evaluation)	CF (LLM Explanation)	CF (LLM Outcome)	CF (System Outcome)	CF (Anon Teacher Id)	CF (Course)	Outcome
23950	3490	2024-04-19 05:00:00	2024-03-25 21:43:16	6.5C Formation of a New Substance	What suggests a chemical change has occurred, without using external sources?	Low Topic spacing	Topic spacing	Low Learning objective spacing	Learning objective spacing	Low Question variability	Question variability	Select	Change in shape	6.5C Formation of a New Substance	I can identify the evidences of a chemical change	125240	2812	Temperature change	select_one_multiple_choice	2024-04-19 05:00:00 UTC	2024-04-19T05:00:00.000Z		35	103948	post-test	nsf-phase-2				incorrect	1161	6th Grade Science 23-24	incorrect
23950	3490	2024-04-19 05:00:00	2024-03-25 21:43:16	6.5C Formation of a New Substance	A change in _____ indicates a chemical change has occurred.	Low Topic spacing	Topic spacing	Low Learning objective spacing	Learning objective spacing	Low Question variability	Question variability	Select	Est dolore eligendi est.	6.5C Formation of a New Substance	I can identify the evidences of a chemical change	125240	2812	color	short_answer	2024-04-19 05:00:00 UTC	2024-04-19T05:00:00.000Z	103956	35	103957	post-test	nsf-phase-2				incorrect	1161	6th Grade Science 23-24	incorrect
23950	3490	2024-04-19 05:00:00	2024-03-25 21:43:16	6.5C Formation of a New Substance	Dissolving sugar in water results in new substances being formed.	Low Topic spacing	Topic spacing	Low Learning objective spacing	Learning objective spacing	Low Question variability	Question variability	Select	FALSE	6.5C Formation of a New Substance	I can differentiate between a chemical and physical change	125240	2812	FALSE	select_one_multiple_choice	2024-04-19 05:00:00 UTC	2024-04-19T05:00:00.000Z	103932	35	103935	post-test	nsf-phase-2				correct	1161	6th Grade Science 23-24	correct
23950	3490	2024-04-19 05:00:00	2024-03-25 21:43:16	6.5C Formation of a New Substance	What is a common indicator of a chemical change?	Low Topic spacing	Topic spacing	Low Learning objective spacing	Learning objective spacing	Low Question variability	Question variability	Select	Dissolving sugar in water	6.5C Formation of a New Substance	I can differentiate between a chemical and physical change	125240	2812	Formation of a gas	select_one_multiple_choice	2024-04-19 05:00:00 UTC	2024-04-19T05:00:00.000Z		35	103920	post-test	nsf-phase-2				incorrect	1161	6th Grade Science 23-24	incorrect
23950	3490	2024-04-19 05:00:00	2024-03-25 21:43:15	6.5C Formation of a New Substance	Why does a temperature change in a mixture indicate a chemical reaction?	Low Topic spacing	Topic spacing	High Learning objective spacing	Learning objective spacing	Low Question variability	Question variability	Select	Autem velit quasi consequatur.	6.5C Formation of a New Substance	I can analyze two substances and combine them to see a chemical change.	125240	2812	Energy is absorbed or released	free_response	2024-04-19 05:00:00 UTC	2024-04-19T05:00:00.000Z	103984	35	103986	post-test	nsf-phase-2				correct	1161	6th Grade Science 23-24	correct
23950	3490	2024-04-19 05:00:00	2024-03-25 21:43:15	6.5C Formation of a New Substance	Mass is created during a chemical reaction.	Low Topic spacing	Topic spacing	High Learning objective spacing	Learning objective spacing	Low Question variability	Question variability	Select	FALSE	6.5C Formation of a New Substance	I can analyze two substances and combine them to see a chemical change.	125240	2812	FALSE	select_one_multiple_choice	2024-04-19 05:00:00 UTC	2024-04-19T05:00:00.000Z	103980	35	103983	post-test	nsf-phase-2				correct	1161	6th Grade Science 23-24	correct
23950	3490	2024-04-19 05:00:00	2024-03-25 21:43:15	6.5C Formation of a New Substance	The formation of a _____ indicates a chemical change has occurred in a solution.	Low Topic spacing	Topic spacing	Low Learning objective spacing	Learning objective spacing	High Question variability	Question variability	Select	Maiores totam et nihil.	6.5C Formation of a New Substance	I can examine an object and see its physical properties	125240	2812	precipitate	short_answer	2024-04-19 05:00:00 UTC	2024-04-19T05:00:00.000Z	103992	35	103993	post-test	nsf-phase-2				incorrect	1161	6th Grade Science 23-24	incorrect
23950	3490	2024-04-19 05:00:00	2024-03-25 21:43:15	6.5C Formation of a New Substance	The release of _____ bubbles is evidence of a chemical change.	Low Topic spacing	Topic spacing	Low Learning objective spacing	Learning objective spacing	High Question variability	Question variability	Select	Laudantium voluptates quasi laboriosam.	6.5C Formation of a New Substance	I can examine an object and see its physical properties	125240	2812	gas	short_answer	2024-04-19 05:00:00 UTC	2024-04-19T05:00:00.000Z	104004	35	104005	post-test	nsf-phase-2				incorrect	1161	6th Grade Science 23-24	incorrect
23950	3490	2024-04-19 05:00:00	2024-03-25 21:43:14	6.5C Formation of a New Substance	What can the production of gas during a reaction signify?	Low Topic spacing	Topic spacing	Low Learning objective spacing	Learning objective spacing	High Question variability	Question variability	Select	Numquam rem id natus.	6.5C Formation of a New Substance	I can identify a chemical change	125240	2812	Chemical change	free_response	2024-04-19 05:00:00 UTC	2024-04-19T05:00:00.000Z	103896	35	103898	post-test	nsf-phase-2				correct	1161	6th Grade Science 23-24	correct
23950	3490	2024-04-19 05:00:00	2024-03-25 21:43:14	6.5C Formation of a New Substance	What does the formation of a precipitate in a solution indicate?	Low Topic spacing	Topic spacing	Low Learning objective spacing	Learning objective spacing	High Question variability	Question variability	Select	Chemical change	6.5C Formation of a New Substance	I can identify a chemical change	125240	2812	Chemical change	select_one_multiple_choice	2024-04-19 05:00:00 UTC	2024-04-19T05:00:00.000Z		35	103904	post-test	nsf-phase-2				correct	1161	6th Grade Science 23-24	correct
