Anon Student Id	Session Id	Time	Problem Start Time	Problem Name	Level (Course)	Input	Condition Name	Condition Type	Condition Name	Condition Type	Action	Selection	KC (Topic)	KC (LO)	School	Class	CF (Exemplar Answer)	CF (Question Type)	CF (Original Due Date)	CF (Response Time)	CF (Completion Time)	CF (Experiment ID)	CF (Stage)	CF (Anon Teacher Id)	CF (Course)	CF (Question Id)	CF (Assignment Day)	Outcome
1	1	1737548520430.9888	1737548489879.9888	This is a placeholder FIB question for LO19 Set3 with _____	AP Biology	incorrect answer	wide	Standard Spacing	low	Question Variability	Select	incorrect answer	Learning Objective 19	103	1	1	placeholder	Fill in Blank	1737558342801	30551	1737548524723.9888	1	pre-test	101	AP Biology	spacing-1019-fib-103	pretest	INCORRECT
1	1	1737548572227.9888	1737548524723.9888	This is a placeholder FIB question for LO16 Set1 with _____	AP Biology	placeholder	narrow	Standard Spacing	high	Question Variability	Select	placeholder	Learning Objective 16	101	1	1	placeholder	Fill in Blank	1737558342801	47504	1737548578690.9888	1	pre-test	101	AP Biology	spacing-1016-fib-101	pretest	CORRECT
1	1	1737548628106.9888	1737548578690.9888	This is a placeholder SHA question for LO6 Set7?	AP Biology	incorrect answer	wide	Standard Spacing	low	Question Variability	Select	incorrect answer	Learning Objective 6	107	1	1	placeholder	Short Answer	1737558342801	49416	1737548634884.9888	1	pre-test	101	AP Biology	spacing-1006-sha-107	pretest	INCORRECT
1	1	1737548678395.9888	1737548634884.9888	This is a placeholder SHA question for LO10 Set2?	AP Biology	placeholder	wide	Standard Spacing	high	Question Variability	Select	placeholder	Learning Objective 10	102	1	1	placeholder	Short Answer	1737558342801	43511	1737548686668.9888	1	pre-test	101	AP Biology	spacing-1010-sha-102	pretest	CORRECT
1	1	1737548740296.9888	1737548686668.9888	This is a placeholder SHA question for LO22 Set5?	AP Biology	placeholder	wide	Standard Spacing	high	Question Variability	Select	placeholder	Learning Objective 22	105	1	1	placeholder	Short Answer	1737558342801	53628	1737548754199.9888	1	pre-test	101	AP Biology	spacing-1022-sha-105	pretest	CORRECT
1	1	1737548800721.9888	1737548754199.9888	This is a placeholder SHA question for LO12 Set1?	AP Biology	incorrect answer	wide	Standard Spacing	low	Question Variability	Select	incorrect answer	Learning Objective 12	101	1	1	placeholder	Short Answer	1737558342801	46522	1737548812096.9888	1	pre-test	101	AP Biology	spacing-1012-sha-101	pretest	INCORRECT
1	1	1737548865364.9888	1737548812096.9888	This is a placeholder MCQ question for LO5 Set4?	AP Biology	a	narrow	Standard Spacing	high	Question Variability	Select	a	Learning Objective 5	104	1	1	a	Multiple Choice	1737558342801	53268	1737548877662.9888	1	pre-test	101	AP Biology	spacing-1005-mcq-104	pretest	CORRECT
1	1	1737548931659.9888	1737548877662.9888	This is a placeholder MCQ question for LO18 Set7?	AP Biology	incorrect answer	narrow	Standard Spacing	high	Question Variability	Select	incorrect answer	Learning Objective 18	107	1	1	a	Multiple Choice	1737558342801	53997	1737548942230.9888	1	pre-test	101	AP Biology	spacing-1018-mcq-107	pretest	INCORRECT
1	1	1737548970179.9888	1737548942230.9888	This is a placeholder MCQ question for LO1 Set7?	AP Biology	a	wide	Standard Spacing	high	Question Variability	Select	a	Learning Objective 1	107	1	1	a	Multiple Choice	1737558342801	27949	1737548978287.9888	1	pre-test	101	AP Biology	spacing-1001-mcq-107	pretest	CORRECT
1	1	1737549031047.9888	1737548978287.9888	This is a placeholder TOF question for LO2 Set3?	AP Biology	true	wide	Standard Spacing	low	Question Variability	Select	true	Learning Objective 2	103	1	1	true	True or False	1737558342801	52760	1737549042897.9888	1	pre-test	101	AP Biology	spacing-1002-tof-103	pretest	CORRECT
